Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
422,Shaquell Moore,DF,us United States,25,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
423,Aaron Mooy,MF,au Australia,31,1990,4.0,0,1,0,0.0,0.25,0.00,0.00,,29.1,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
424,Álvaro Morata,FW,es Spain,29,1992,2.1,3,8,5,62.5,3.89,2.43,0.38,0.60,10.3,0,0,0,1.4,1.4,0.17,+1.6,+1.6,Matches
425,Héctor Moreno,DF,mx Mexico,34,1988,3.0,0,1,0,0.0,0.33,0.00,0.00,,5.8,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches
426,Hidemasa Morita,MF,jp Japan,27,1995,3.2,0,3,1,33.3,0.95,0.32,0.00,0.00,22.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
427,Joe Morrell,MF,wls Wales,25,1997,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
428,Jordan Morris,"FW,DF",us United States,27,1994,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
429,Youssoufa Moukoko,FW,de Germany,17,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
430,Mason Mount,MF,eng England,23,1999,2.1,0,4,1,25.0,1.94,0.48,0.00,0.00,23.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
431,Youssef Msakni,"MF,FW",tn Tunisia,31,1990,1.9,0,9,2,22.2,4.79,1.07,0.00,0.00,16.0,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
